,text,,,,,,,,,,,,,,,,,,,,Neutral,Label
1939,messing up on delivery time and again a new competency acquired by Amazon,,,,,,,,,,,,,,,,,,,,1,1
1940,I purchased MI MAX in this sale Amazon cheated by not attempting delivery at my residence and declaring the package Undeliverable BAD,,,,,,,,,,,,,,,,,,,,0,0
1941,ayu le852 Home delivery Amazon flipkart ko shopping ayu le852 Se samjhauta hua hai,,,,,,,,,,,,,,,,,,,,N,1
1942,Maybe Amazon can send some of its delivery drones to to help deliver supplies to ppl where roads are impassable,,,,,,,,,,,,,,,,,,,,N,1
1943,s delivery will have an interesting side effect creating unimaginable quantities of via,,,,,,,,,,,,,,,,,,,,1,1
1944,Unless Coldstone is doing delivery and printed books become relevant again I see zero logic in comparing this with Amazon,,,,,,,,,,,,,,,,,,,,1,1
1945,Just had my delivery a day late What s the point of paying for Amazon prime,,,,,,,,,,,,,,,,,,,,0,0
1946,Delay in my products OD110274601986757000 OD110296009647865000 delivery with unkwn reasons made me to buy other product in Amazon,,,,,,,,,,,,,,,,,,,,0,0
1947,Can we all agree delivery service is absolutely terrible Can we just go back to USPS please,,,,,,,,,,,,,,,,,,,,0,0
1948,Spite n  waiting until the day before the ending delivery date and then shipping the order overnight Fuck you,,,,,,,,,,,,,,,,,,,,0,0
1949,09 28 How Amazon is secretly building its superfast delivery,,,,,,,,,,,,,,,,,,,,0,0
1950,why o why do you use Royal Mail to deliver parcels Ive paid extra for a one day delivery its not going to arrive today not happy,,,,,,,,,,,,,,,,,,,,0,0
1951,That was a sneaky amazon prime now price increase minimum spend now 35 for free delivery,,,,,,,,,,,,,,,,,,,,1,1
1952,Order No 403 3012335 6464318 Order placed on 26 for delivery on 27 despite repeated requests at customercare none helped Waiting,,,,,,,,,,,,,,,,,,,,N,1
1953,I hv ordered Motog5S plus expected delivery date is 27th 8pm ur dilivery guy went back without calling me 1 3,,,,,,,,,,,,,,,,,,,,0,0
1954,I ve just ordered some off amazon cos it made me eligible for free delivery rubs hands with glee,,,,,,,,,,,,,,,,,,,,1,1
1955,Its really very bad service of I never expected this from amazon Both customer care and delivery agent not recieving call,,,,,,,,,,,,,,,,,,,,0,0
1956,Amazon s delivery speed is epic,,,,,,,,,,,,,,,,,,,,1,1
1957,Amazon prime needs to get a clue I paid for two day delivery this change is wrong ,,,,,,,,,,,,,,,,,,,,0,0
1958,estimated delivery date for my amazon CD is friday BLESS AT LEAST ONE OF MY CDS WILL GET HERE THIS WEEK TO APPEASE MY THIRST,,,,,,,,,,,,,,,,,,,,0,0
1959,Hats off to amazon Now customer care deny to repay my courier charges which I paid for 1 day delivery That s the reason u r earning,,,,,,,,,,,,,,,,,,,,N,1
1960,Dont subscribe for amazon prime it takes more delivery time than normal delivery time,,,,,,,,,,,,,,,,,,,,1,1
1961,very ridiculous order placed on 18 delivery date is 26 sep but still not received order and it s showing order delivered,,,,,,,,,,,,,,,,,,,,0,0
1962,Amazon dives deeper into food delivery with a new Olo partnership,,,,,,,,,,,,,,,,,,,,1,1
1963,I d say would be the perfect test case for these drone delivery efforts Why aren t drones relaying sat phones or H2O,,,,,,,,,,,,,,,,,,,,1,1
1984,omg the original cube for less than 4 quid from Amazon and with free delivery,,,,,,,,,,,,,,,,,,,,1,1
1985,Acer AX3950 Desktop PC i3 20 Monitor 378 92 delivery AMAZON,,,,,,,,,,,,,,,,,,,,N,1
1986,RT My Skyrim order on Amazon was just upgraded to release date delivery Thanks Amazon Only a bit 4 months to go Is it,,,,,,,,,,,,,,,,,,,,1,1
1987,Sheesh Amazon is buying Is that an end of free delivery to far flung islands Don t don t don t ruin my Island Life,,,,,,,,,,,,,,,,,,,,1,1
1988,hmv com said delivery est 7 10 days Not far off Y not cancel Amazon and go hmv,,,,,,,,,,,,,,,,,,,,0,0
1989,I paid for Amazon Prime to get next day delivery and so far it s always come late Anyway Halo Reach should arrive tomorrow,,,,,,,,,,,,,,,,,,,,0,0
1990,Special Delivery by Elaine Raco Chase  via Shared bodily warmth fast paced dialogue verbal sparring,,,,,,,,,,,,,,,,,,,,1,1
1991,UK via Amazon In June 2011 Checked status last week said mid Aug delivery Having a baby doesnt take this long 3,,,,,,,,,,,,,,,,,,,,0,0
1992,I woke up and checked my email Got an email from Amazon saying that my Bag O Swag finally shipped Nearly being late on delivery range,,,,,,,,,,,,,,,,,,,,0,0
1993,Certain Amazon vendors have taken to shipping goods w insufficient postage It didn t truly bother me until I missed a delivery time Great,,,,,,,,,,,,,,,,,,,,1,1
1994,New touch 8GB 4th Generation 161 Save 28 Free UK Delivery From Amazon,,,,,,,,,,,,,,,,,,,,1,1
1995,Microsoft XBox 360 250GB Console 159 98 at Amazon with Free Delivery and choose any one of the games,,,,,,,,,,,,,,,,,,,,1,1
1996,The UPS man just arrived with my copy of s The Grift Thanks for release date delivery,,,,,,,,,,,,,,,,,,,,1,1
1997,classic 160GB Black 181 95 Save 47 05 Free UK Delivery From Amazon,,,,,,,,,,,,,,,,,,,,1,1
1998,Is release date delivery always 0 99 from Amazon This is the second time in a month I ve been able to get release date delivery for cheap,,,,,,,,,,,,,,,,,,,,1,1
1999,True I do have a bunch of Amazon credits saved up Not worried about delivery as I can pick up fr GS at work 3 min drive fr here,,,,,,,,,,,,,,,,,,,,1,1
2000,thanks for a fast delivery The updates were certainly appreciated take note LaserShip should be used more often,,,,,,,,,,,,,,,,,,,,1,1
2001,GameStop always gets the best pre order bonuses I stick with Amazon due to credit and release date delivery,,,,,,,,,,,,,,,,,,,,1,1
2002,Ordered from says it delivered but I never got it is shipping again next day morning delivery Classy,,,,,,,,,,,,,,,,,,,,1,1
2022,It s on sale pretty cheap at amazon ca With free delivery you d still get it this week,,,,,,,,,,,,,,,,,,,,1,1
2023,My recent discovery of low delivery charges from both the German and UK Amazon sites may have just changed my life,,,,,,,,,,,,,,,,,,,,N,1
2024,Why does use such rubbish delivery companies parcel due 2 be delivered today by now the tracking says it won t be today,,,,,,,,,,,,,,,,,,,,0,0
2025,service is awesome one day delivery for me to The same day as i ordered an SD card from amazon it took 2 weeks,,,,,,,,,,,,,,,,,,,,1,1
2026,As far as I know it wasn t It s a standard amazon co uk delivery estimated at 3 5 days deliv Order was placed on Saturday,,,,,,,,,,,,,,,,,,,,1,1
2027,New 8GB 6th Generation Blue 114 22 Save 14 78 Free UK Delivery From Amazon,,,,,,,,,,,,,,,,,,,,1,1
2028,wonders how some sellers on Amazon can offer free delivery on goods costing less than a quid I m not compaining mind,,,,,,,,,,,,,,,,,,,,1,1
2029,Greatest Hits Huey Lewis And The News 4 49 download or 3 99 on CD free delivery from Amazon Shouldn t download be cheaper,,,,,,,,,,,,,,,,,,,,1,1
2030,Why is it wen you pay for express delivery the wee shits at amazon take longer to dispatch it,,,,,,,,,,,,,,,,,,,,N,1
2031,Mortal Kombat Xbox360 19 98 Free delivery Amazon Nectar points,,,,,,,,,,,,,,,,,,,,1,1
2032,voted hot on Mortal Kombat Xbox360 19 98 Free delivery Amazon Nectar points,,,,,,,,,,,,,,,,,,,,1,1
2033,who can quote me a good rate for an to portugal,,,,,,,,,,,,,,,,,,,,1,1
2034,LEGO Cars Classic Mater was 4 99 now 2 63 at Amazon with free delivery,,,,,,,,,,,,,,,,,,,,1,1
2035,Relying upon your money back guarantee Amazon has made a delivery I shall report back,,,,,,,,,,,,,,,,,,,,N,1
2036,Woohoo Amazon delivery just arrived,,,,,,,,,,,,,,,,,,,,N,1
2037,Love ordering books on Amazon Hate waiting for delivery,,,,,,,,,,,,,,,,,,,,0,0
2038,Both Amazon and Kiddiecare do a nappy delivery service which is really reasonable I know that doesn t help with Asda,,,,,,,,,,,,,,,,,,,,1,1
2039,why the fuck are amazon uk charging me 27 delivery on a 4 item,,,,,,,,,,,,,,,,,,,,0,0
2040,I still prefer paper books but e books are a good alternative when you can t wait for a delivery,,,,,,,,,,,,,,,,,,,,1,1
2042,Amazon Kindle Black Neoprene Carry Pouch Case  From UK Emporium Free Delivery,,,,,,,,,,,,,,,,,,,,1,1
2043,New at Electronics Online Store Amazon Kindle Black Neoprene Carry Pouch Case From UK Emporium Free Delivery,,,,,,,,,,,,,,,,,,,,1,1
2044,I m dying to get my latest book delivery from Amazon Like Christmas every time,,,,,,,,,,,,,,,,,,,,1,1
2045,That my fear and I want a large set from Amazon so it would be in a delivery truck for days possibly,,,,,,,,,,,,,,,,,,,,1,1
2046,My Skyrim order on Amazon was just upgraded to release date delivery Thanks Amazon Only a bit 4 months to go Is it 11 11 11 yet,,,,,,,,,,,,,,,,,,,,1,1
2047,Just ordered through Amazon Just a buck for release day delivery pretty awesome Can t wait for that game,,,,,,,,,,,,,,,,,,,,1,1
2048,RT Amazon Simple Email Service Now Supports Attachments Best virus delivery tool scale ducks,,,,,,,,,,,,,,,,,,,,1,1
2049,Apparently it s update release date delivery day on Amazon as Dark Souls and Arkham City just got bumped to release day delivery for me,,,,,,,,,,,,,,,,,,,,0,0
2051,topsell Hourly seller in Health Amazon com Gift Cards E mail Delivery,,,,,,,,,,,,,,,,,,,,N,1
2052,I L C K White Floral Print Clip Top Purse FREE UK Delivery from the BagPurse Amazon Shop ,,,,,,,,,,,,,,,,,,,,1,1
2053,CoCo Black Red Kisses Beach Bag FREE UK Delivery from the BagPurse Amazon Shop ,,,,,,,,,,,,,,,,,,,,1,1
2054,The first week of Borders closeout sales will likely still not match Amazon s free delivery discount prices This explains much Sadly,,,,,,,,,,,,,,,,,,,,1,1
2055,so bored i have nothing to do but my amazon delivery is coming tomorrow so yay,,,,,,,,,,,,,,,,,,,,0,0
2056,they managed to smash 1 Amazon delivery recently Updated status to damaged but never called Credit to Amazon for easy resend tho,,,,,,,,,,,,,,,,,,,,1,1
2057,Amazon just told me that my copy of the new album has shipped Estimated delivery July 25 IMPATIENT,,,,,,,,,,,,,,,,,,,,0,0
2058,So tempted to order a bunch of stuff from Amazon co uk while in London No extra duties fast delivery loads of deals ugh,,,,,,,,,,,,,,,,,,,,1,1
2060,Yo Amazon has 99 delivery for release day delivery for Skyrim  Guess what I ll be doing that weekend,,,,,,,,,,,,,,,,,,,,N,1
2061,Jamie Oliver Flavour Shaker in Grey down from 16 00 to 7 55 Amazon with free Delivery,,,,,,,,,,,,,,,,,,,,1,1
2062,How is Amazon Prime better than normal delivery I ordered something yesterday and it shipped today evening same as without Prime,,,,,,,,,,,,,,,,,,,,1,1
2063,dear amazon ca NOBODY waits 2 6 MONTHS for delivery and 58 shipping on 44 worth of USED books is a bigger FAIL Sorry Hello eBay,,,,,,,,,,,,,,,,,,,,0,0
2064,My latest Amazon delivery,,,,,,,,,,,,,,,,,,,,1,1
2065,What the fuck Amazon an extra 5 for delivery charges Fuck oooooooooooff with that shit,,,,,,,,,,,,,,,,,,,,0,0
2066,Special Delivery by Elaine Raco Chase  via Enjoy fast dialogue verbal sparring and sexual tension in spades,,,,,,,,,,,,,,,,,,,,1,1
2067,Seamless Food Delivery Android app now available in the Amazon Appstore Woot,,,,,,,,,,,,,,,,,,,,1,1
2068,The Observer has named The Frost Fairs as one of its holiday reads It s on Amazon at 6 99 with free UK delivery ,,,,,,,,,,,,,,,,,,,,1,1
2069,well then I take it all back just order them on amazon with delivery to Robin Baker via the library,,,,,,,,,,,,,,,,,,,,N,1
2070,HotUkDeals Found by UnworldlyfriendUnder Used Top one Sold by Amazon Warehouse Free Delivery For Xbox,,,,,,,,,,,,,,,,,,,,1,1
2071,Order something from July 14 Have Prime account and paid extra for next day delivery Still haven t received it O o,,,,,,,,,,,,,,,,,,,,N,1
2072,Just pre orded the re release of Halo via Amazon even though it s not coming until November 15th But I did get same day delivery for 99,,,,,,,,,,,,,,,,,,,,N,1
2073,Where to buy a SwimFin in West End Woking GU24 Only 21 99 Free Delivery from Amazon UK Click here,,,,,,,,,,,,,,,,,,,,1,1
2074,Delivery from Amazon has arrived Five chunky GoT books Should keep me going for a while,,,,,,,,,,,,,,,,,,,,N,1
2075,Where to buy a SwimFin in Kerdiston Norwich NR10 Only 21 99 Free Delivery from Amazon UK Click here,,,,,,,,,,,,,,,,,,,,1,1
2076,Where to buy a SwimFin in Netherlee Glasgow G44 Only 21 99 Free Delivery from Amazon UK Click here,,,,,,,,,,,,,,,,,,,,1,1
2077,Where to buy a SwimFin in Hersham Walton on Thames KT12 Only 21 99 Free Delivery from Amazon UK Click here,,,,,,,,,,,,,,,,,,,,1,1
2078,Amazon app UX the buttons to choose how you want to purchase delivery are front center If u want to purchase add to cart minisicual,,,,,,,,,,,,,,,,,,,,0,0
2079,Totally agree but I believe out sources their delivery management to another company,,,,,,,,,,,,,,,,,,,,N,1
2080,Have a sinking feeling may have thrown a delivery over the fence which is worth 200,,,,,,,,,,,,,,,,,,,,1,1
2081,oh really i didnt remember that and they still came before amazon s estimated delivery date anyway,,,,,,,,,,,,,,,,,,,,1,1
2082,Amazon Express delivery not gordonbennet Non motoring Not Amazon s or Royal Mail s fault but d,,,,,,,,,,,,,,,,,,,,N,1
2083,Where to buy a SwimFin in Leamington Spa Warks CV32 Only 21 99 Free Delivery from Amazon UK Click here,,,,,,,,,,,,,,,,,,,,1,1
2084,Where to buy a SwimFin in Morriston Swansea SA6 Only 21 99 Free Delivery from Amazon UK Click here,,,,,,,,,,,,,,,,,,,,1,1
2085,Amazon Express delivery not Zero Non motoring wonder how long it will be before they set up t,,,,,,,,,,,,,,,,,,,,0,0
2086,Amazon Express delivery not R P Non motoring The huge majority of their transactions are excellen,,,,,,,,,,,,,,,,,,,,1,1
2087,Amazon Express delivery not Dog Non motoring Free super saver delivery Brilliant service,,,,,,,,,,,,,,,,,,,,1,1
2089,Amazon delivery today Hubert Mounier s latest album and companion book,,,,,,,,,,,,,,,,,,,,1,1
2090,Really should be working but just got my cover from Amazon super saver delivery 1st class speed,,,,,,,,,,,,,,,,,,,,1,1
2091,Amazon Express delivery not Roger Non motoring We ordered three quite expensive items from Amazon,,,,,,,,,,,,,,,,,,,,0,0
2092,Where to buy a SwimFin in Brightwell cum Sotwell Oxon OX10 Only 21 99 Free Delivery from Amazon UK Click here,,,,,,,,,,,,,,,,,,,,1,1
2093,Where to buy TFTA earphones in Reigate Surrey RH2 29 95 99 95 Free Delivery from Amazon UK Click here,,,,,,,,,,,,,,,,,,,,1,1
2094,Where to buy a SwimFin in Pinner Middlesex HA5 Only 21 99 Free Delivery from Amazon UK Click here,,,,,,,,,,,,,,,,,,,,1,1
2095,Where to buy a SwimFin in Leeds West Yorkshire LS9 Only 21 99 Free Delivery from Amazon UK Click here,,,,,,,,,,,,,,,,,,,,1,1
2096,ie tayto Amazon also make you pay 2 more for free international wireless delivery if you re outside certain areas,,,,,,,,,,,,,,,,,,,,1,1
2097,Looli Fluro Blue Summer Bag fun and quirky 6 99 incl UK Delivery at the BagPurse Amazon Shop ,,,,,,,,,,,,,,,,,,,,1,1
2098,Where to buy a SwimFin in Watton Thetford IP25 Only 21 99 Free Delivery from Amazon UK Click here,,,,,,,,,,,,,,,,,,,,1,1
2099,Where to buy a SwimFin in Brighton East Sussex BN1 Only 21 99 Free Delivery from Amazon UK Click here,,,,,,,,,,,,,,,,,,,,1,1
2100,Where to buy a SwimFin in Earlsdon Coventry CV5 Only 21 99 Free Delivery from Amazon UK Click here,,,,,,,,,,,,,,,,,,,,1,1
2101,Where to buy a SwimFin in Frinton on Sea Essex CO13 Only 21 99 Free Delivery from Amazon UK Click here,,,,,,,,,,,,,,,,,,,,1,1
2102,Where to buy a SwimFin in London SW2 Only 21 99 Free Delivery from Amazon UK Click here,,,,,,,,,,,,,,,,,,,,1,1
2103,Where to buy a SwimFin in School Hill Ceres Fife KY15 Only 21 99 Free Delivery from Amazon UK Click here,,,,,,,,,,,,,,,,,,,,1,1
2104,Where to buy a SwimFin in Scarisbrick Southport PR8 Only 21 99 Free Delivery from Amazon UK Click here,,,,,,,,,,,,,,,,,,,,1,1
2105,not being funny but do you guys want to split a pack of 6 with us I won t use that much Free delivery from amazon,,,,,,,,,,,,,,,,,,,,1,1
2106,Where to buy a SwimFin in Roundhay Leeds LS8 Only 21 99 Free Delivery from Amazon UK Click here,,,,,,,,,,,,,,,,,,,,1,1
2107,Where to buy TFTA earphones in Drayton Banbury OX15 29 95 99 95 Free Delivery from Amazon UK Click here,,,,,,,,,,,,,,,,,,,,1,1
2108,Where to buy a SwimFin in Edinburgh EH16 Only 21 99 Free Delivery from Amazon UK Click here,,,,,,,,,,,,,,,,,,,,1,1
2109,Where to buy a SwimFin in Gorseinon Swansea SA4 Only 21 99 Free Delivery from Amazon UK Click here,,,,,,,,,,,,,,,,,,,,1,1
2110,Where to buy a SwimFin in Didsbury Manchester M20 Only 21 99 Free Delivery from Amazon UK Click here,,,,,,,,,,,,,,,,,,,,1,1
2111,Where to buy a SwimFin in Brentford Middlesex TW8 Only 21 99 Free Delivery from Amazon UK Click here,,,,,,,,,,,,,,,,,,,,1,1
2112,Where to buy a SwimFin in Livingston West Lothian EH54 Only 21 99 Free Delivery from Amazon UK Click here,,,,,,,,,,,,,,,,,,,,1,1
2113,Where to buy a SwimFin in 07020 Aglientu OT Italy Italia Only 21 99 Free Delivery from Amazon UK Click here,,,,,,,,,,,,,,,,,,,,1,1
2114,Amazon Express delivery not Dog Non motoring Dixon s seen to be quite a lot cheaper for an item,,,,,,,,,,,,,,,,,,,,N,1
2115,Amazon Express delivery not Dog Non motoring Thumbs up to the geezer with the Airbus I emailed A,,,,,,,,,,,,,,,,,,,,N,1
2116,Amazon Express delivery not Roger Non motoring Dixon s seen to be quite a lot cheaper for an item,,,,,,,,,,,,,,,,,,,,N,1
2118,Oohhhh AND stelzner books in one Amazon delivery Goodbye day,,,,,,,,,,,,,,,,,,,,N,1
2121,Amazon Express delivery not gordonbennet Non motoring Always check Amazon before buying these days,,,,,,,,,,,,,,,,,,,,N,1
2122,Where s Amazon s price advantage over local merchants when you add the delivery charges Taxes nightmare for Amazon,,,,,,,,,,,,,,,,,,,,N,1
2123,Buy from Amazon US with international shipping That s what I used to do b4 Amazon spawned EU stores 4 6 weeks delivery,,,,,,,,,,,,,,,,,,,,N,1
2124,Amazon Express delivery not Dog Non motoring I always do use their super saver freebie but I part,,,,,,,,,,,,,,,,,,,,1,1
2125,yes came from amazon via the home delivery network they always seem to deliver on a Sunday,,,,,,,,,,,,,,,,,,,,N,1
2127,Amazon Express delivery not Dog Non motoring Looks like it s gonna be the telly tonight then or,,,,,,,,,,,,,,,,,,,,N,1
2128,Amazon Express delivery not Fenlander Non motoring Humph has it about right Back door wide open h,,,,,,,,,,,,,,,,,,,,1,1
2129,Special Delivery by Elaine Raco Chase  via Spray the kindle in SPF 100 hot sex laughs and snow,,,,,,,,,,,,,,,,,,,,1,1
2130,Amazon Express delivery not Dog Non motoring and then I would ask for the return of the express,,,,,,,,,,,,,,,,,,,,N,1
2131,Black Floral Grab Bag FREE UK Delivery at the BagPurse Amazon Shop ,,,,,,,,,,,,,,,,,,,,1,1
2132,Classic Collection Black Leather Shoulder Bag Big reductions FREE UK Delivery at the BagPurse Amazon Shop ,,,,,,,,,,,,,,,,,,,,1,1
2133,Amazon express delivery may be expensive but right now it is a lifesaver,,,,,,,,,,,,,,,,,,,,0,0
2135,New Charley Clark Red Handbag huge discounts and free UK delivery from the BagPurse Amazon Shop ,,,,,,,,,,,,,,,,,,,,1,1
2136,SH So 6 99 on amazon with free delivery is a steal goes off to buy book immediately,,,,,,,,,,,,,,,,,,,,1,1
2137,Deal Draper Hose 30m 12 mm Bore Heavy Duty Watering Hose Yellow Amazon 9 87 Free Delivery,,,,,,,,,,,,,,,,,,,,1,1
2138,My first collection of poems The Frost Fairs Salt 2011 is now available for 6 99 on Amazon with free UK delivery ,,,,,,,,,,,,,,,,,,,,1,1
2139,Draper Hose 30m 12 mm Bore Heavy Duty Watering Hose Yellow Amazon 9 87 Free Delivery,,,,,,,,,,,,,,,,,,,,1,1
2140,Your Amazon order Expected Delivery July 19 22 Yey Johnny Air your turn,,,,,,,,,,,,,,,,,,,,0,0
2141,Ladies Jewelled Chiffon Scarf big savings and FREE UK Delivery at the BagPurse Amazon Shop ,,,,,,,,,,,,,,,,,,,,1,1
2142,ok hold that thought i wont be pre ordering from amazon as the estimated date of delivery is jan 2012,,,,,,,,,,,,,,,,,,,,1,1
2144,Amazon says my Chromebook from Google has shipped and UPS estimated delivery date is this Monday WOOOOOOHOOOOOOOOO,,,,,,,,,,,,,,,,,,,,N,1
2145,Evil DOOM 8 93 with free delivery niggaaaa amazon is the best,,,,,,,,,,,,,,,,,,,,1,1
2147,Amazon Japan should have international delivery service,,,,,,,,,,,,,,,,,,,,N,1
2149,Earphones ordered Delivery Monday I love Amazon Prime 1 month free trial,,,,,,,,,,,,,,,,,,,,1,1
2150,Still not got my Art Saves ordered June 15 amazon say 3 more weeks to UK delivery I want it now,,,,,,,,,,,,,,,,,,,,1,1
2151,if you order next day delivery then sneak into the amazon warehouse and put the clocks forward a day does it get delivered the same day,,,,,,,,,,,,,,,,,,,,N,1
2152,Paid for one day shipping on Thursday and the estimated delivery date for my item is Monday WTF,,,,,,,,,,,,,,,,,,,,0,0
2153,bird Best Amazon delivery ever,,,,,,,,,,,,,,,,,,,,1,1
2154,FREE Super Saver Delivery from Amazon co uk ftw,,,,,,,,,,,,,,,,,,,,1,1
2155,the G110 gaming keyboard is pretty cool has good reviews and is for 50 in amazon free delivery may consider getting it,,,,,,,,,,,,,,,,,,,,1,1
2157,my cx 300s were about 13 on amazon and I think they had free delivery too Might be worth a look,,,,,,,,,,,,,,,,,,,,1,1
2158,Good to see that Amazon have finally stopped assuming I prefer paid delivery to free,,,,,,,,,,,,,,,,,,,,1,1
2160,And amazon co uk Free delivery to Denmark AWESOME,,,,,,,,,,,,,,,,,,,,1,1
2161,Amazon Prime first failure Ordered something on Thursday 2 day shipping Delivery next Wednesday I could cancel re order for Tues,,,,,,,,,,,,,,,,,,,,0,0
2162,yay may Amazon delivery may actually still be delivered today,,,,,,,,,,,,,,,,,,,,N,1
2163,Never knew Amazon sold dog food Had another delivery today Once again huge thanks to everyone who is helping our baders,,,,,,,,,,,,,,,,,,,,1,1
2164,Ordered a Coldplay cd on amazon yesterday chose free delivery and it arrived today Amazon you have out done yourselves this time,,,,,,,,,,,,,,,,,,,,1,1
2165,Need to pop out to restock the Bombay Mix mountain but waiting for a delivery from Amazon Grrrrrr x,,,,,,,,,,,,,,,,,,,,N,1
2166,Green Fashion Necklace by Accessories By Park Lane big discounts FREE UK Delivery from the BagPurse Amazon Shop ,,,,,,,,,,,,,,,,,,,,1,1
2167,Ordered item on Amazon at 3pm yesterday and it arrived at 10am today Chose the free post option glad I didn t choose 8 express delivery,,,,,,,,,,,,,,,,,,,,1,1
2168,Ooh citing has just had delivery of his pocket money buy from Amazon Dr Who SceneIt game see you soon,,,,,,,,,,,,,,,,,,,,0,0
2169,hopefully Amazon delivery today,,,,,,,,,,,,,,,,,,,,N,1
2170,One Amazon order here and the other is out for delivery sweet So much for Tuesday deliveries lol,,,,,,,,,,,,,,,,,,,,1,1
2171,Trending Sevylor Tahiti Plus Kayak 2 1 person from Amazon 99 95 with free Delivery,,,,,,,,,,,,,,,,,,,,1,1
2172,just been woken up by the delivery man bringing my new book from amazon how did he know i finished my last one last night,,,,,,,,,,,,,,,,,,,,1,1
2173,Deal Sevylor Tahiti Plus Kayak 2 1 person from Amazon 99 95 with free Delivery Found by Onehotxfirefig,,,,,,,,,,,,,,,,,,,,1,1
2174,Deal Sevylor Tahiti Plus Kayak 2 1 person from Amazon 99 95 with free Delivery,,,,,,,,,,,,,,,,,,,,1,1
2175,im waiting for my amazon Delivery,,,,,,,,,,,,,,,,,,,,N,1
2176,I think the Amazon Android app store is purely a test for delivery to their own Android fork,,,,,,,,,,,,,,,,,,,,1,1
2178,Sevylor Tahiti Plus Kayak 2 1 person from Amazon 99 95 with free Delivery,,,,,,,,,,,,,,,,,,,,1,1
2179,I think Amazon be holding my packages at locations JUST so they can have their estimated delivery date right everytime,,,,,,,,,,,,,,,,,,,,1,1
2181,Well UPS screwed up my Amazon delivery so it looks like I ll have to buy the LOTR blurays in a store like a sucker,,,,,,,,,,,,,,,,,,,,0,0
2182,10 for 20 Amazon com Gift Card Email Delivery Enter your promotional code at checkout to claim your Kindle special offer 10 disco,,,,,,,,,,,,,,,,,,,,1,1
2183,My first collection The Frost Fairs is now available for 6 99 on Amazon with free delivery in the UK ,,,,,,,,,,,,,,,,,,,,1,1
2184,Amazon also just added text message delivery alerts Awesome,,,,,,,,,,,,,,,,,,,,1,1
2185,Just upped my Zico delivery frequency via Amazon Subscriptions,,,,,,,,,,,,,,,,,,,,N,1
2186,thanks D i was about to order it of Amazon but then estimated delivery time was 21st 25th Yes it is dark,,,,,,,,,,,,,,,,,,,,1,1
2188,Agreed Waiting for Amazon to delivery my speedboat RT Online shopping is way too easy,,,,,,,,,,,,,,,,,,,,1,1
2189,RT Retailers Fear Amazon Me Especially If AMZN gets into local same day delivery in metro areas,,,,,,,,,,,,,,,,,,,,N,1
2190,Fezariu s Epiphany is available for just 2 99 includes free wireless delivery via at Amazon Kindle Edition sponsored,,,,,,,,,,,,,,,,,,,,1,1
2191,sponsored Like David Brown Get free wireless delivery to your Kindle of Fezariu s Epiphany It s 2 99 at Amazon,,,,,,,,,,,,,,,,,,,,1,1
2192,remove the word yet just found same cable for 1 10 incl delivery on amazon,,,,,,,,,,,,,,,,,,,,N,1
2193,just ordered the same cable on amazon for 1 10 incl delivery vs 8 99 Maplin Craplin,,,,,,,,,,,,,,,,,,,,N,1
2194,Ordered on Thurs w Guaranteed Accelerated Delivery Fri Arrival Date Monday Good to know I can t use when I care about timing,,,,,,,,,,,,,,,,,,,,1,1
2195,I came home to a cat happy to see me and a amazon delivery of cookbook that looks amazing Already planning dinners for the week,,,,,,,,,,,,,,,,,,,,1,1
2196,I just pre ordered Catherine for the PS3 from Amazon DAY OF DELIVERY,,,,,,,,,,,,,,,,,,,,N,1
2197,Mountford Not bad Amazon co uk also great I just got delivery of DVs in 4 days no special delivery and I m in Rome,,,,,,,,,,,,,,,,,,,,1,1
2198,voted hot on GRUNDIG GUD300HD Freeview HD Digital Box 38 29 AMAZON free delivery,,,,,,,,,,,,,,,,,,,,1,1
2199,Living out of WA Amazon purchases tax free Living in WA Same day delivery Who wins,,,,,,,,,,,,,,,,,,,,1,1
2200,said they charge Cdn customers US dollars bc their delivery service over ATT is more expensive for international delivery OK,,,,,,,,,,,,,,,,,,,,1,1
2201,Just found a beautiful copy of Terry Huff and Special Delivery on vinyl Man we have the GOODS 1051 E 54th st VibesMusic2 on Amazon,,,,,,,,,,,,,,,,,,,,1,1
2202,Dear Amazon What is the point of ordering 3 things with express delivery if you are only going to send 2 with said express delivery,,,,,,,,,,,,,,,,,,,,N,1
2203,Ordered The Office DVD s on Wednesday night went for normal Amazon delivery came this morning Amazon ftw,,,,,,,,,,,,,,,,,,,,1,1
2204,I ve bought more books Now if Amazon only had an upgrade to instant delivery option Oh wait they call that Kindle P,,,,,,,,,,,,,,,,,,,,1,1
2206,Now that Amazon co uk will ship groceries to Ireland with super saver delivery there s a whole host of bulk buying bargains to be had,,,,,,,,,,,,,,,,,,,,1,1
2207,Where to buy a SwimFin in Dumfries DG1 Only 21 99 Free Delivery from Amazon UK Click here,,,,,,,,,,,,,,,,,,,,1,1
2208,Deals across selected categories at Amazon co uk Free UK Delivery on Amazon orders  help us earn,,,,,,,,,,,,,,,,,,,,1,1
2209,Where to buy a SwimFin in London W4 Only 21 99 Free Delivery from Amazon UK Click here,,,,,,,,,,,,,,,,,,,,1,1
2210,Where to buy a SwimFin in Kidderminster Worcestershire DY11 Only 21 99 Free Delivery from Amazon UK Click here,,,,,,,,,,,,,,,,,,,,1,1
